107,Marreese Speights,C,29,LAC,7,2,14,2.3,5.3,0.432,1,2.9,0.35,1.3,2.4,0.529,0.527,1,1.4,0.7,0.6,2.3,2.9,0.4,0.3,0.4,0.4,1.9,6.6
108,Andrew Harrison,PG,22,MEM,6,0,19.8,2.2,4.8,0.448,0.8,2.2,0.385,1.3,2.7,0.5,0.534,1.3,1.5,0.889,0.7,1.2,1.8,2.2,0.5,0.2,0.5,2.3,6.5
109,Joe Ingles,SF,29,UTA,11,11,30.4,2.3,5.6,0.403,1.4,3.7,0.366,0.9,1.9,0.476,0.524,0.5,0.8,0.667,0.2,3.5,3.7,3.3,2,0.5,1.5,2.5,6.5
110,J.R. Smith,SG,31,CLE,8,8,26,2.1,4.9,0.436,1.9,4.3,0.441,0.3,0.6,0.4,0.628,0.3,0.5,0.5,0.1,1.6,1.8,0.8,0.6,0.5,0.9,2.3,6.4
111,Deron Williams,PG,32,CLE,8,0,16,2.3,3.6,0.621,1.1,1.9,0.6,1.1,1.8,0.643,0.776,0.8,0.9,0.857,0.3,1,1.3,2.6,0.5,0.1,0.9,1.9,6.4
112,Zaza Pachulia,C,32,GSW,9,9,15.4,2.6,4.8,0.535,0,0.1,0,2.6,4.7,0.548,0.535,1.2,1.3,0.917,1,3.7,4.7,0.9,0.7,0.4,0.7,2,6.3
113,Shelvin Mack,PG,26,UTA,9,3,17.2,1.9,5.4,0.347,0.8,1.7,0.467,1.1,3.8,0.294,0.418,1.4,1.7,0.867,0.3,2.4,2.8,2,0.4,0,1,1.6,6
114,Terry Rozier,PG,22,BOS,12,0,16.3,1.9,4.6,0.418,0.9,2.1,0.44,1,2.5,0.4,0.518,1.2,1.4,0.824,0.7,2.3,2.9,1.4,0.6,0.3,0.3,1.3,5.9
115,Thon Maker,C,19,MIL,6,6,19.3,2,5.2,0.387,0.3,1.7,0.2,1.7,3.5,0.476,0.419,1.5,1.8,0.818,1.3,1.8,3.2,2,0.8,1.8,1.3,3,5.8
116,Kelly Oubre,SF,21,WAS,12,0,15.3,2.2,5.1,0.426,0.9,2.5,0.367,1.3,2.6,0.484,0.516,0.6,0.8,0.7,0.8,1.6,2.3,0.3,0.8,0.4,0.6,3.2,5.8
117,Boris Diaw,PF,34,UTA,11,9,18.5,2.2,4.4,0.5,0.5,1.3,0.429,1.6,3.1,0.529,0.563,0.8,0.9,0.9,0.3,1.6,1.9,2,0.6,0.4,1.3,1.1,5.7
118,Raymond Felton,PG,32,LAC,7,0,18.1,2.1,4.6,0.469,0.6,1.3,0.444,1.6,3.3,0.478,0.531,0.7,0.7,1,0.3,1.1,1.4,1.4,0.9,0,0.4,1.4,5.6
119,Allen Crabbe,SG,24,POR,4,0,23,2.3,6,0.375,0.8,3.3,0.231,1.5,2.8,0.545,0.438,0.3,0.8,0.333,0,3,3,0.5,0.3,0,0.3,2.3,5.5
120,Monta Ellis,SG,31,IND,4,2,19,2,5,0.4,0.5,2,0.25,1.5,3,0.5,0.45,1,1.3,0.8,0.3,1.8,2,1.3,0.5,0.3,1,1.3,5.5
121,Manu Ginobili,SG,39,SAS,13,0,17.6,2.1,5.6,0.37,0.5,2.5,0.188,1.6,3.2,0.512,0.411,0.6,0.8,0.727,0.7,2.2,2.8,2.2,0.9,0.2,0.8,1.5,5.2
122,Aaron Brooks,PG,32,IND,1,0,7,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,1,0,0,1,0,5
